date,new_cases,new_deaths
2020-03-01,5.0,0.0
2020-04-01,596.0,28.0
2020-05-01,1375.0,50.0
2020-06-01,948.0,12.0
2020-07-01,288.0,3.0
2020-08-01,98.0,5.0
2020-09-01,278.0,1.0
2020-10-01,353.0,5.0
2020-11-01,510.0,9.0
2020-12-01,263.0,17.0
2021-01-01,70.0,0.0
2021-02-01,2473.0,109.0
2021-03-01,4141.0,290.0
2021-04-01,2517.0,184.0
2021-05-01,747.0,56.0
2021-06-01,284.0,6.0
2021-07-01,457.0,36.0
2021-08-01,2063.0,166.0
2021-09-01,2514.0,134.0
2021-10-01,2018.0,97.0
2021-11-01,1018.0,119.0
2021-12-01,516.0,6.0
2022-01-01,729.0,2.0
